2025-09-17 11:02:49,874 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:02:49,874 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:02:49,874 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:02:49,874 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:02:49,874 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:13:44,956 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:13:44,956 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:13:44,956 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:13:44,956 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
2025-09-17 11:13:44,956 - WARNING - UserWarning: Do not pass an `input_shape`/`input_dim` argument to a layer. When using Sequential models, prefer using an `Input(shape)` object as the first layer in the model instead. (File: c:\ThesisWork\offical_approach\mth_project\.venv\Lib\site-packages\keras\src\layers\convolutional\base_conv.py, Line: 113)
