name,calculate changes:,calculate percentage
ICMP loss,82,0.2079529316291337
ICMP ping,29,0.07354432947859606
ICMP response time,39175,99.34824508013796
SW#1: Temperature,3631,9.208257252992494
#2: CPU utilization,1333,3.380503144654088
